dataset,block,tree_in_block,B,alpha,r_norm,alpha_positive,converged
Santander,0,0,1,0.0314542,120.259561,True,False
Santander,1,0,1,0.03008482,120.225243,True,False
Santander,2,0,1,0.03062049,120.192212,True,False
Santander,3,0,1,0.03036579,120.158193,True,False
Santander,4,0,1,0.02949427,120.124195,True,False
Santander,5,0,1,0.02994354,120.090971,True,False
Santander,6,0,1,0.02991001,120.056781,True,False
Santander,7,0,1,0.02989882,120.022516,True,False
Santander,8,0,1,0.02866418,119.987528,True,False
Santander,9,0,1,0.02763308,119.954449,True,False
Santander,10,0,1,0.02813427,119.921857,True,False
Santander,11,0,1,0.02787596,119.888928,True,False
Santander,12,0,1,0.02695134,119.855424,True,False
Santander,13,0,1,0.02607392,119.82356,True,False
Santander,14,0,1,0.02737356,119.792947,True,False
Santander,15,0,1,0.02712662,119.759178,True,False
Santander,16,0,1,0.02679459,119.726113,True,False
Santander,17,0,1,0.0257634,119.693037,True,False
Santander,18,0,1,0.02515681,119.661659,True,False
Santander,19,0,1,0.02545162,119.631645,True,False
Santander,20,0,1,0.02575782,119.599959,True,False
Santander,21,0,1,0.02601133,119.567433,True,False
Santander,22,0,1,0.02547474,119.534765,True,False
Santander,23,0,1,0.02485773,119.502044,True,False
Santander,24,0,1,0.02388963,119.469612,True,False
Santander,25,0,1,0.02398743,119.439592,True,False
Santander,26,0,1,0.02406563,119.409875,True,False
Santander,27,0,1,0.02424624,119.378414,True,False
Santander,28,0,1,0.02364379,119.346958,True,False
Santander,29,0,1,0.02354308,119.316361,True,False
Santander,0,0,2,0.0314542,120.259561,True,False
Santander,0,1,2,0.03039091,120.259561,True,False
Santander,1,0,2,0.03097054,120.225872,True,False
Santander,1,1,2,0.03101656,120.225872,True,False
Santander,2,0,2,0.03017167,120.191789,True,False
Santander,2,1,2,0.03091643,120.191789,True,False
Santander,3,0,2,0.03078675,120.157911,True,False
Santander,3,1,2,0.03137944,120.157911,True,False
Santander,4,0,2,0.02976912,120.122975,True,False
Santander,4,1,2,0.02911589,120.122975,True,False
Santander,5,0,2,0.0297253,120.089767,True,False
Santander,5,1,2,0.0296912,120.089767,True,False
Santander,6,0,2,0.02886204,120.055852,True,False
Santander,6,1,2,0.02780448,120.055852,True,False
Santander,7,0,2,0.02944252,120.023699,True,False
Santander,7,1,2,0.02949357,120.023699,True,False
Santander,8,0,2,0.02818307,119.989583,True,False
Santander,8,1,2,0.02803654,119.989583,True,False
Santander,9,0,2,0.02714454,119.956922,True,False
Santander,9,1,2,0.02900628,119.956922,True,False
Santander,10,0,2,0.02808322,119.924091,True,False
Santander,10,1,2,0.02821573,119.924091,True,False
Santander,11,0,2,0.0280665,119.890524,True,False
Santander,11,1,2,0.02820017,119.890524,True,False
Santander,12,0,2,0.02569799,119.856858,True,False
Santander,12,1,2,0.02678489,119.856858,True,False
Santander,13,0,2,0.02737445,119.825828,True,False
Santander,13,1,2,0.02733103,119.825828,True,False
Santander,14,0,2,0.0270397,119.792761,True,False
Santander,14,1,2,0.02754262,119.792761,True,False
Santander,15,0,2,0.0262173,119.759747,True,False
