dataset,B,n_observations,alpha_mean,alpha_std,alpha_min,alpha_max,pct_positive,trend,trend_direction,assumption_holds
Santander,1,30,0.027008,0.002358,0.023543,0.031454,100.0,-0.003914,stable,True
Santander,2,60,0.026964,0.002327,0.023557,0.031454,100.0,-0.003918,stable,True
Santander,4,120,0.026975,0.002338,0.022704,0.032173,100.0,-0.003897,stable,True
Covertype,1,30,0.193236,0.050279,0.080637,0.294649,100.0,-0.070644,declining,True
Covertype,2,60,0.194353,0.050792,0.110425,0.294649,100.0,-0.075566,declining,True
Covertype,4,120,0.190876,0.056825,0.056092,0.301535,100.0,-0.084255,declining,True
UCI_Adult,1,30,0.273149,0.058556,0.184539,0.388904,100.0,-0.096244,declining,True
UCI_Adult,2,60,0.273946,0.058594,0.174396,0.388904,100.0,-0.09743,declining,True
UCI_Adult,4,120,0.272397,0.058492,0.172484,0.390172,100.0,-0.099316,declining,True
IEEE_CIS,1,30,0.169873,0.013957,0.14061,0.195341,100.0,-0.023555,declining,True
IEEE_CIS,2,60,0.171303,0.012642,0.146501,0.196104,100.0,-0.018807,declining,True
IEEE_CIS,4,120,0.17007,0.01362,0.140044,0.196823,100.0,-0.020597,declining,True
